,0
https://www.mutualofamerica.com/,"['Retirement Services and Investments | Mutual of America                        skip to Main Content               \r                             Institutional Investors\r                            \r                             Careers\r                              Search Close Search        Search   Submit search             Mutual of America Financial Group Homepage         \r                         Employers\r                          Employers We offer a wide variety of retirement plan solutions customized to your organization and needs.     \r                                                     Solutions For Your Organization\r                                                         \r                                                     Services We Provide\r                                                         Support For Your Employees   \r                                                     All Retirement Plans\r                                                         Interest Account & Investment Options      Overview   Nonprofit   Business   Tribal Entities   Governmental   Values-Based       Overview   Retirement Savings Services   Payroll Integration   Online Enrollment   Online Salary Deferral   Automatic Enrollment           Overview   401(k) Plan   403(b) Plan   401(a) Plan   457 Deferred Compensation Plan              \r                         Individuals\r                          Individuals Individual retirement savings products designed to help you achieve a rewarding retirement.     \r                                                     Traditional IRA\r                                                         Rollover IRA   \r                                                     Roth IRA\r                                                         \r                                                     Flexible Premium Annuity\r                                                         Interest Account & Investment Options   Retirement Income Options', 'Automatic Contributions      Overview   Features & Benefits   Tax Advantages   Contributions & Withdrawals   Spousal IRA           Overview   Features & Benefits   Contributions & Withdrawals   Is a Roth IRA Right For You?   Converting to a Roth IRA       Overview   Features & Benefits   Contributions & Withdrawals                      \r                         Insights & Tools\r                          Insights & Tools See our retirement planning resources - calculators, glossary of terms, contribution limit information and more.     Contribution Limits 2023   Resource Center   Retirement Calculators   Glossary                         \r                         About Us\r                          About Us Learn about Mutual of America. Our history, who we are, our financial strength and annual reports.     Community Partnership   Annual and Financial Reports   Board of Directors   What Our Clients Are Saying   Newsroom                                LOG IN / REGISTER    Log In/Set Up Online Account MyAccount access for Individuals     Enroll in Your Plan Group Plan enrollment for Individuals     Sponsor Login  Portal access for Employers        CONTACT US       Customer Support  For current plan sponsors & participants        Prospective Plan Sponsors For employers looking to change or start a new retirement plan            Open Menu         Search   Submit search           \r                                         Employers\r                                             \r                                         Individuals\r                                             \r                                         Insights & Tools\r                                             \r                                         About Us\r                                             \r                                     CONTACT US\r                                         \r                                     LOG IN / REGISTER\r                                                Employer', 'Employers\r                            Overview    \r                                                 Solutions For Your Organization\r                                                        Overview   Nonprofit   Business   Tribal Entities   Governmental   Values-Based        \r                                                 Services We Provide\r                                                        Overview   Retirement Savings Services   Payroll Integration   Online Enrollment   Online Salary Deferral   Automatic Enrollment       Support For Your Employees    \r                                                 All Retirement Plans\r                                                        Overview   401(k) Plan   403(b) Plan   401(a) Plan   457 Deferred Compensation Plan       Interest Account & Investment Options      Employer \r                             Individuals\r                            Overview    \r                                                 Traditional IRA\r                                                        Overview   Features & Benefits   Tax Advantages   Contributions & Withdrawals   Spousal IRA       Rollover IRA    \r                                                 Roth IRA\r                                                        Overview   Features & Benefits   Contributions & Withdrawals   Is a Roth IRA Right For You?   Converting to a Roth IRA        \r                                                 Flexible Premium Annuity\r                                                        Overview   Features & Benefits   Contributions & Withdrawals       Interest Account & Investment Options   Retirement Income Options   Automatic Contributions      Employer \r                             Insights & Tools\r                            Overview   Contribution Limits 2023   Resource Center   Retirement Calculators   Glossary      Employer \r                             About Us\r                            Overview', 'Community Partnership   Annual and Financial Reports   Board of Directors   What Our Clients Are Saying   Newsroom      Contact Us   \r                                     CONTACT US\r                                        Customer Support  For current plan sponsors & participants         Prospective Plan Sponsors For employers looking to change or start a new retirement plan        Login   \r                                     LOG IN / REGISTER\r                                     Log In/Set Up Online Account MyAccount access for Individuals      Enroll in Your Plan Group Plan enrollment for Individuals      Sponsor Login  Portal access for Employers              \r                                     Institutional Investors\r                                    \r                                     Careers\r                                                   Helping your employees plan and prepare for a financially secure future  GET STARTED          Insights & Tools Discover our retirement education resources, including articles and videos, calculators and useful tools.   Learn More          Client Stories Hear why clients turn to Mutual of America for their retirement and investment needs.   Learn More          Community Work Learn how Mutual of America is having a meaningful impact in the communities where we live and work.   Learn More                   What Mutual of America offers We have the right services for you and your needs.                                 Individuals                                                          Nonprofit Organizations                                                          Business                                                          Tribal Entities                                                          Governmental Organizations                                                               Values-Based                                       Stay Informed            Keep Your Retirement Account Safe', 'Four tips for securing your personal information.  Read More              Withdrawals, Rollovers and Loans  Want to initiate a withdrawal, rollover or loan? Read about some things you should consider before taking action.  Read More              Webinar – Economic & Market Perspective: Midyear Outlook  Stephen Rich, CEO of Mutual of America Capital Management LLC, provides insights on the financial market strength, inflation’s persistence and the outlook ahead.  Watch Now              10 Strategies for Investing After Retirement  Senior EVP Brian Severin emphasizes the importance of avoiding fear-driven or emotional decisions about investments.  Read More              Inflation – Two Years and Counting  Consumers continue to feel inflation’s impact, even as it eases from levels not seen since the early 1980s.  Read More              Choosing the right retirement plan for a small business  Senior Executive VP Brian Severin sheds light on retirement solutions small-business employers may be unaware of, plus key provisions from the SECURE 2.0 Act.  Read More              Webinar - SECURE 2.0 Act: What Plan Sponsors Need to Know  Mutual of America’s Nick Curabba and Tyrone Golatt discuss key provisions of the SECURE 2.0 Act that plan sponsors need to know about.  Watch Now              Benefits of Consolidating Retirement Assets  Consider consolidating your retirement assets into your employer-sponsored retirement plan.  Read More              Helpful Resources at Your Fingertips  With so much to worry about right now, reviewing your retirement savings strategy might be low on your ""to do"" list.  Read More              Investing 101: What You Need to Know  Saving for retirement is a journey, and regardless of how far down that path you are, it\'s never too late to boost your investment knowledge.  Read More           Previous Slide                  Next Slide                  78  Years (since 1945) that we have been providing retirement and investment services.', ""1,000+  Dedicated, salaried employees, providing the service and support you need.            50+  Offices located nationwide, allowing us to stay close to the clients we serve.           Get In Touch     Customer Support  For current plan sponsors and participants CONTACT US       Prospective Plan Sponsors  For employers looking to change or start a new retirement plan LEARN MORE                                   © Copyright 1999-2023 Mutual of America Life Insurance Company.                     Securities offered by Mutual of America Securities LLC, Member FINRA/SIPC. Insurance products are issued by Mutual of America Life Insurance Company, 320 Park Avenue, New York, NY 10022-6839.                     Mutual of America® and Mutual of America ezRollover® are registered service marks of Mutual of America Life Insurance Company.                                                          Legal Information                                                                         Privacy and Security Information                                                                         Accessibility                                                                         NY Residents                                                                         Business Resumption Plans                                                                         Fee Disclosure                                                                         Financial Strength                                                                         Site Map                                                                         FINRA's BrokerCheck                                                                         Form CRS–Customer Relationship Summary                                       Follow us Stay connected with news and updates     LinkedIn      Facebook      YouTube""]"
https://www.mutualofamerica.com/about-us,"['Learn More About Mutual of America Financial Group | Mutual of America                        skip to Main Content               \r                             Institutional Investors\r                            \r                             Careers\r                              Search Close Search        Search   Submit search             Mutual of America Financial Group Homepage         \r                         Employers\r                          Employers We offer a wide variety of retirement plan solutions customized to your organization and needs.     \r                                                     Solutions For Your Organization\r                                                         \r                                                     Services We Provide\r                                                         Support For Your Employees   \r                                                     All Retirement Plans\r                                                         Interest Account & Investment Options      Overview   Nonprofit   Business   Tribal Entities   Governmental   Values-Based       Overview   Retirement Savings Services   Payroll Integration   Online Enrollment   Online Salary Deferral   Automatic Enrollment           Overview   401(k) Plan   403(b) Plan   401(a) Plan   457 Deferred Compensation Plan              \r                         Individuals\r                          Individuals Individual retirement savings products designed to help you achieve a rewarding retirement.     \r                                                     Traditional IRA\r                                                         Rollover IRA   \r                                                     Roth IRA\r                                                         \r                                                     Flexible Premium Annuity\r                                                         Interest Account & Investment Options', 'Retirement Income Options   Automatic Contributions      Overview   Features & Benefits   Tax Advantages   Contributions & Withdrawals   Spousal IRA           Overview   Features & Benefits   Contributions & Withdrawals   Is a Roth IRA Right For You?   Converting to a Roth IRA       Overview   Features & Benefits   Contributions & Withdrawals                      \r                         Insights & Tools\r                          Insights & Tools See our retirement planning resources - calculators, glossary of terms, contribution limit information and more.     Contribution Limits 2023   Resource Center   Retirement Calculators   Glossary                         \r                         About Us\r                          About Us Learn about Mutual of America. Our history, who we are, our financial strength and annual reports.     Community Partnership   Annual and Financial Reports   Board of Directors   What Our Clients Are Saying   Newsroom                                LOG IN / REGISTER    Log In/Set Up Online Account MyAccount access for Individuals     Enroll in Your Plan Group Plan enrollment for Individuals     Sponsor Login  Portal access for Employers        CONTACT US       Customer Support  For current plan sponsors & participants        Prospective Plan Sponsors For employers looking to change or start a new retirement plan            Open Menu         Search   Submit search           \r                                         Employers\r                                             \r                                         Individuals\r                                             \r                                         Insights & Tools\r                                             \r                                         About Us\r                                             \r                                     CONTACT US\r                                         \r                                     LOG IN / REGISTER', 'Employer \r                             Employers\r                            Overview    \r                                                 Solutions For Your Organization\r                                                        Overview   Nonprofit   Business   Tribal Entities   Governmental   Values-Based        \r                                                 Services We Provide\r                                                        Overview   Retirement Savings Services   Payroll Integration   Online Enrollment   Online Salary Deferral   Automatic Enrollment       Support For Your Employees    \r                                                 All Retirement Plans\r                                                        Overview   401(k) Plan   403(b) Plan   401(a) Plan   457 Deferred Compensation Plan       Interest Account & Investment Options      Employer \r                             Individuals\r                            Overview    \r                                                 Traditional IRA\r                                                        Overview   Features & Benefits   Tax Advantages   Contributions & Withdrawals   Spousal IRA       Rollover IRA    \r                                                 Roth IRA\r                                                        Overview   Features & Benefits   Contributions & Withdrawals   Is a Roth IRA Right For You?   Converting to a Roth IRA        \r                                                 Flexible Premium Annuity\r                                                        Overview   Features & Benefits   Contributions & Withdrawals       Interest Account & Investment Options   Retirement Income Options   Automatic Contributions      Employer \r                             Insights & Tools\r                            Overview   Contribution Limits 2023   Resource Center   Retirement Calculators   Glossary      Employer', 'About Us\r                            Overview   Community Partnership   Annual and Financial Reports   Board of Directors   What Our Clients Are Saying   Newsroom      Contact Us   \r                                     CONTACT US\r                                        Customer Support  For current plan sponsors & participants         Prospective Plan Sponsors For employers looking to change or start a new retirement plan        Login   \r                                     LOG IN / REGISTER\r                                     Log In/Set Up Online Account MyAccount access for Individuals      Enroll in Your Plan Group Plan enrollment for Individuals      Sponsor Login  Portal access for Employers              \r                                     Institutional Investors\r                                    \r                                     Careers\r                                                   We Are Mutual of America            Home   About Us     Helping companies and their employees save for a more financially secure retirement Since 1945, Mutual of America has specialized in providing small and mid-sized not-for-profit organizations and companies with pension- and retirement-related services, along with leading customer support. We work diligently to understand the needs of plan sponsors. We provide them with competitively priced solutions so they can help their employees achieve their financial planning goals.                              Board of Directors                Led by John R. Greed, Chairman, President and Chief Executive Officer, Mutual of America’s Board of Directors includes individuals who have records of significant accomplishments and leadership in a variety of fields.   VIEW BOARD OF DIRECTORS                              Community Building', ""Mutual of America is dedicated to making a difference in the world, not only by helping individuals meet their long-term financial objectives, but also by having a direct, positive impact on the future of our society.\xa0   VIEW COMMUNITY BUILDING                              Annual and Financial Reports                We invite you to review our most recent Annual Report and Financial Report to learn more about Mutual of America Financial Group.   VIEW ANNUAL AND FINANCIAL REPORTS                              Newsroom                Check out news and features highlighting Mutual of America and our employees, review press releases, and access helpful media resources and media contact information.   VIEW NEWSROOM       You should consider the investment objectives, risks, and charges and expenses of the investment funds and, if applicable, the variable annuity contract, carefully before investing. This and other information is contained in the funds' prospectuses and summary prospectuses and the contract prospectus or brochure, if applicable, which can be obtained by calling 800.468.3785 or visiting mutualofamerica.com. Read them carefully before investing.   Mutual of America's group and individual retirement products that are variable annuity contracts are suitable for long-term investing, particularly for retirement savings. The value of a variable annuity contract will fluctuate depending on the performance of the Separate Account investment options you choose. Upon redemption, you could receive more or less than the principal amount invested. A variable annuity contract provides no additional tax-deferred treatment of benefits beyond the treatment provided to any qualified retirement plan or IRA by applicable tax law. You should consider a variable annuity contract's other features before making a decision.                            © Copyright 1999-2023 Mutual of America Life Insurance Company."", ""Securities offered by Mutual of America Securities LLC, Member FINRA/SIPC. Insurance products are issued by Mutual of America Life Insurance Company, 320 Park Avenue, New York, NY 10022-6839.                     Mutual of America® and Mutual of America ezRollover® are registered service marks of Mutual of America Life Insurance Company.                                                          Legal Information                                                                         Privacy and Security Information                                                                         Accessibility                                                                         NY Residents                                                                         Business Resumption Plans                                                                         Fee Disclosure                                                                         Financial Strength                                                                         Site Map                                                                         FINRA's BrokerCheck                                                                         Form CRS–Customer Relationship Summary                                       Follow us Stay connected with news and updates     LinkedIn      Facebook      YouTube""]"
https://www.mutualofamerica.com/about-us/annual-and-financial-reports,"['Annual and Financial Reports | Mutual of America                        skip to Main Content               \r                             Institutional Investors\r                            \r                             Careers\r                              Search Close Search        Search   Submit search             Mutual of America Financial Group Homepage         \r                         Employers\r                          Employers We offer a wide variety of retirement plan solutions customized to your organization and needs.     \r                                                     Solutions For Your Organization\r                                                         \r                                                     Services We Provide\r                                                         Support For Your Employees   \r                                                     All Retirement Plans\r                                                         Interest Account & Investment Options      Overview   Nonprofit   Business   Tribal Entities   Governmental   Values-Based       Overview   Retirement Savings Services   Payroll Integration   Online Enrollment   Online Salary Deferral   Automatic Enrollment           Overview   401(k) Plan   403(b) Plan   401(a) Plan   457 Deferred Compensation Plan              \r                         Individuals\r                          Individuals Individual retirement savings products designed to help you achieve a rewarding retirement.     \r                                                     Traditional IRA\r                                                         Rollover IRA   \r                                                     Roth IRA\r                                                         \r                                                     Flexible Premium Annuity\r                                                         Interest Account & Investment Options   Retirement Income Options', 'Automatic Contributions      Overview   Features & Benefits   Tax Advantages   Contributions & Withdrawals   Spousal IRA           Overview   Features & Benefits   Contributions & Withdrawals   Is a Roth IRA Right For You?   Converting to a Roth IRA       Overview   Features & Benefits   Contributions & Withdrawals                      \r                         Insights & Tools\r                          Insights & Tools See our retirement planning resources - calculators, glossary of terms, contribution limit information and more.     Contribution Limits 2023   Resource Center   Retirement Calculators   Glossary                         \r                         About Us\r                          About Us Learn about Mutual of America. Our history, who we are, our financial strength and annual reports.     Community Partnership   Annual and Financial Reports   Board of Directors   What Our Clients Are Saying   Newsroom                                LOG IN / REGISTER    Log In/Set Up Online Account MyAccount access for Individuals     Enroll in Your Plan Group Plan enrollment for Individuals     Sponsor Login  Portal access for Employers        CONTACT US       Customer Support  For current plan sponsors & participants        Prospective Plan Sponsors For employers looking to change or start a new retirement plan            Open Menu         Search   Submit search           \r                                         Employers\r                                             \r                                         Individuals\r                                             \r                                         Insights & Tools\r                                             \r                                         About Us\r                                             \r                                     CONTACT US\r                                         \r                                     LOG IN / REGISTER\r                                                Employer', 'Employers\r                            Overview    \r                                                 Solutions For Your Organization\r                                                        Overview   Nonprofit   Business   Tribal Entities   Governmental   Values-Based        \r                                                 Services We Provide\r                                                        Overview   Retirement Savings Services   Payroll Integration   Online Enrollment   Online Salary Deferral   Automatic Enrollment       Support For Your Employees    \r                                                 All Retirement Plans\r                                                        Overview   401(k) Plan   403(b) Plan   401(a) Plan   457 Deferred Compensation Plan       Interest Account & Investment Options      Employer \r                             Individuals\r                            Overview    \r                                                 Traditional IRA\r                                                        Overview   Features & Benefits   Tax Advantages   Contributions & Withdrawals   Spousal IRA       Rollover IRA    \r                                                 Roth IRA\r                                                        Overview   Features & Benefits   Contributions & Withdrawals   Is a Roth IRA Right For You?   Converting to a Roth IRA        \r                                                 Flexible Premium Annuity\r                                                        Overview   Features & Benefits   Contributions & Withdrawals       Interest Account & Investment Options   Retirement Income Options   Automatic Contributions      Employer \r                             Insights & Tools\r                            Overview   Contribution Limits 2023   Resource Center   Retirement Calculators   Glossary      Employer \r                             About Us\r                            Overview', ""Community Partnership   Annual and Financial Reports   Board of Directors   What Our Clients Are Saying   Newsroom      Contact Us   \r                                     CONTACT US\r                                        Customer Support  For current plan sponsors & participants         Prospective Plan Sponsors For employers looking to change or start a new retirement plan        Login   \r                                     LOG IN / REGISTER\r                                     Log In/Set Up Online Account MyAccount access for Individuals      Enroll in Your Plan Group Plan enrollment for Individuals      Sponsor Login  Portal access for Employers              \r                                     Institutional Investors\r                                    \r                                     Careers\r                                                Home   About Us   Annual and Financial Reports     Annual and Financial Reports            Each year, we make available Mutual of America's Annual Report outlining our business objectives, achievements and financial information; sharing messages from leadership; and highlighting our commitment to our customers and to the communities across the country where we work and live. Thank you for taking a few minutes to learn more about the Company. To view the current and past reports, please click on the links below.  2022 Annual Report [PDF] 2021 Annual Report\xa0 2021 Financial Report [PDF] 2020 Annual Report [PDF]                                   © Copyright 1999-2023 Mutual of America Life Insurance Company.                     Securities offered by Mutual of America Securities LLC, Member FINRA/SIPC. Insurance products are issued by Mutual of America Life Insurance Company, 320 Park Avenue, New York, NY 10022-6839.                     Mutual of America® and Mutual of America ezRollover® are registered service marks of Mutual of America Life Insurance Company."", ""Legal Information                                                                         Privacy and Security Information                                                                         Accessibility                                                                         NY Residents                                                                         Business Resumption Plans                                                                         Fee Disclosure                                                                         Financial Strength                                                                         Site Map                                                                         FINRA's BrokerCheck                                                                         Form CRS–Customer Relationship Summary                                       Follow us Stay connected with news and updates     LinkedIn      Facebook      YouTube""]"
https://www.mutualofamerica.com/about-us/board-of-directors,"['Board of Directors - Mutual of America Life Insurance Company | Mutual of America                        skip to Main Content               \r                             Institutional Investors\r                            \r                             Careers\r                              Search Close Search        Search   Submit search             Mutual of America Financial Group Homepage         \r                         Employers\r                          Employers We offer a wide variety of retirement plan solutions customized to your organization and needs.     \r                                                     Solutions For Your Organization\r                                                         \r                                                     Services We Provide\r                                                         Support For Your Employees   \r                                                     All Retirement Plans\r                                                         Interest Account & Investment Options      Overview   Nonprofit   Business   Tribal Entities   Governmental   Values-Based       Overview   Retirement Savings Services   Payroll Integration   Online Enrollment   Online Salary Deferral   Automatic Enrollment           Overview   401(k) Plan   403(b) Plan   401(a) Plan   457 Deferred Compensation Plan              \r                         Individuals\r                          Individuals Individual retirement savings products designed to help you achieve a rewarding retirement.     \r                                                     Traditional IRA\r                                                         Rollover IRA   \r                                                     Roth IRA\r                                                         \r                                                     Flexible Premium Annuity\r                                                         Interest Account & Investment Options', 'Retirement Income Options   Automatic Contributions      Overview   Features & Benefits   Tax Advantages   Contributions & Withdrawals   Spousal IRA           Overview   Features & Benefits   Contributions & Withdrawals   Is a Roth IRA Right For You?   Converting to a Roth IRA       Overview   Features & Benefits   Contributions & Withdrawals                      \r                         Insights & Tools\r                          Insights & Tools See our retirement planning resources - calculators, glossary of terms, contribution limit information and more.     Contribution Limits 2023   Resource Center   Retirement Calculators   Glossary                         \r                         About Us\r                          About Us Learn about Mutual of America. Our history, who we are, our financial strength and annual reports.     Community Partnership   Annual and Financial Reports   Board of Directors   What Our Clients Are Saying   Newsroom                                LOG IN / REGISTER    Log In/Set Up Online Account MyAccount access for Individuals     Enroll in Your Plan Group Plan enrollment for Individuals     Sponsor Login  Portal access for Employers        CONTACT US       Customer Support  For current plan sponsors & participants        Prospective Plan Sponsors For employers looking to change or start a new retirement plan            Open Menu         Search   Submit search           \r                                         Employers\r                                             \r                                         Individuals\r                                             \r                                         Insights & Tools\r                                             \r                                         About Us\r                                             \r                                     CONTACT US\r                                         \r                                     LOG IN / REGISTER', 'Employer \r                             Employers\r                            Overview    \r                                                 Solutions For Your Organization\r                                                        Overview   Nonprofit   Business   Tribal Entities   Governmental   Values-Based        \r                                                 Services We Provide\r                                                        Overview   Retirement Savings Services   Payroll Integration   Online Enrollment   Online Salary Deferral   Automatic Enrollment       Support For Your Employees    \r                                                 All Retirement Plans\r                                                        Overview   401(k) Plan   403(b) Plan   401(a) Plan   457 Deferred Compensation Plan       Interest Account & Investment Options      Employer \r                             Individuals\r                            Overview    \r                                                 Traditional IRA\r                                                        Overview   Features & Benefits   Tax Advantages   Contributions & Withdrawals   Spousal IRA       Rollover IRA    \r                                                 Roth IRA\r                                                        Overview   Features & Benefits   Contributions & Withdrawals   Is a Roth IRA Right For You?   Converting to a Roth IRA        \r                                                 Flexible Premium Annuity\r                                                        Overview   Features & Benefits   Contributions & Withdrawals       Interest Account & Investment Options   Retirement Income Options   Automatic Contributions      Employer \r                             Insights & Tools\r                            Overview   Contribution Limits 2023   Resource Center   Retirement Calculators   Glossary      Employer', 'About Us\r                            Overview   Community Partnership   Annual and Financial Reports   Board of Directors   What Our Clients Are Saying   Newsroom      Contact Us   \r                                     CONTACT US\r                                        Customer Support  For current plan sponsors & participants         Prospective Plan Sponsors For employers looking to change or start a new retirement plan        Login   \r                                     LOG IN / REGISTER\r                                     Log In/Set Up Online Account MyAccount access for Individuals      Enroll in Your Plan Group Plan enrollment for Individuals      Sponsor Login  Portal access for Employers              \r                                     Institutional Investors\r                                    \r                                     Careers\r                                                Home   About Us   Board of Directors     Board of Directors - Mutual of America Life Insurance Company                     John R. Greed    Chairman, President and Chief Executive Officer Mutual of America New York, New York            Rosemary T. Berkery, Esq.    Chairman and CEO (Retired) UBS Bank USA New York, New York   Vice Chair (Retired) UBS Wealth Management Americas New York, New York            Gwendolyn Hatten Butler    Former President and Chief Investment Officer Capri Investment Group Chicago, Illinois            Kimberly Casiano    President Kimberly Casiano & Associates Inc. San Juan, Puerto Rico            Wayne A. I. Frederick, M.D.    President Howard University Washington, D.C.            Earle H. Harbison, Jr.    Chairman Harbison St. Louis, Missouri   President & Chief Operating Officer (Retired) Monsanto Company St. Louis, Missouri            Maurine A. Haver    Founder and Chief Executive Officer Haver Analytics, Inc. New York, New York            Robert J. McGuire, Esq.    Attorney  New York, New York', 'Former New York City Police Commissioner City of New York New York, New York            Ellen Ochoa, Ph.D.    Astronaut and Director of NASA Johnson Space Center (Retired) NASA Houston, Texas            Roger B. Porter, Ph.D.    IBM Professor of Business and Government Harvard University Cambridge, Massachusetts            Paula A. Price    Former Executive, Chief Financial Officer and Advisor  New York, New York            General Dennis J. Reimer    33rd Chief of Staff U.S. Army (Retired)    Chairman Army Emergency Relief Arlington, Virginia   Chairman American Armed Forces Mutual Aid Association Fort Myer, Virginia            Get In Touch     Customer Support  For current plan sponsors and participants CONTACT US       Prospective Plan Sponsors  For employers looking to change or start a new retirement plan LEARN MORE                                   © Copyright 1999-2023 Mutual of America Life Insurance Company.                     Securities offered by Mutual of America Securities LLC, Member FINRA/SIPC. Insurance products are issued by Mutual of America Life Insurance Company, 320 Park Avenue, New York, NY 10022-6839.                     Mutual of America® and Mutual of America ezRollover® are registered service marks of Mutual of America Life Insurance Company.                                                          Legal Information                                                                         Privacy and Security Information                                                                         Accessibility                                                                         NY Residents                                                                         Business Resumption Plans                                                                         Fee Disclosure                                                                         Financial Strength                                                                         Site Map', ""FINRA's BrokerCheck                                                                         Form CRS–Customer Relationship Summary                                       Follow us Stay connected with news and updates     LinkedIn      Facebook      YouTube""]"
https://www.mutualofamerica.com/about-us/community-building,"['Community Partnership | Mutual of America                        skip to Main Content               \r                             Institutional Investors\r                            \r                             Careers\r                              Search Close Search        Search   Submit search             Mutual of America Financial Group Homepage         \r                         Employers\r                          Employers We offer a wide variety of retirement plan solutions customized to your organization and needs.     \r                                                     Solutions For Your Organization\r                                                         \r                                                     Services We Provide\r                                                         Support For Your Employees   \r                                                     All Retirement Plans\r                                                         Interest Account & Investment Options      Overview   Nonprofit   Business   Tribal Entities   Governmental   Values-Based       Overview   Retirement Savings Services   Payroll Integration   Online Enrollment   Online Salary Deferral   Automatic Enrollment           Overview   401(k) Plan   403(b) Plan   401(a) Plan   457 Deferred Compensation Plan              \r                         Individuals\r                          Individuals Individual retirement savings products designed to help you achieve a rewarding retirement.     \r                                                     Traditional IRA\r                                                         Rollover IRA   \r                                                     Roth IRA\r                                                         \r                                                     Flexible Premium Annuity\r                                                         Interest Account & Investment Options   Retirement Income Options', 'Automatic Contributions      Overview   Features & Benefits   Tax Advantages   Contributions & Withdrawals   Spousal IRA           Overview   Features & Benefits   Contributions & Withdrawals   Is a Roth IRA Right For You?   Converting to a Roth IRA       Overview   Features & Benefits   Contributions & Withdrawals                      \r                         Insights & Tools\r                          Insights & Tools See our retirement planning resources - calculators, glossary of terms, contribution limit information and more.     Contribution Limits 2023   Resource Center   Retirement Calculators   Glossary                         \r                         About Us\r                          About Us Learn about Mutual of America. Our history, who we are, our financial strength and annual reports.     Community Partnership   Annual and Financial Reports   Board of Directors   What Our Clients Are Saying   Newsroom                                LOG IN / REGISTER    Log In/Set Up Online Account MyAccount access for Individuals     Enroll in Your Plan Group Plan enrollment for Individuals     Sponsor Login  Portal access for Employers        CONTACT US       Customer Support  For current plan sponsors & participants        Prospective Plan Sponsors For employers looking to change or start a new retirement plan            Open Menu         Search   Submit search           \r                                         Employers\r                                             \r                                         Individuals\r                                             \r                                         Insights & Tools\r                                             \r                                         About Us\r                                             \r                                     CONTACT US\r                                         \r                                     LOG IN / REGISTER\r                                                Employer', 'Employers\r                            Overview    \r                                                 Solutions For Your Organization\r                                                        Overview   Nonprofit   Business   Tribal Entities   Governmental   Values-Based        \r                                                 Services We Provide\r                                                        Overview   Retirement Savings Services   Payroll Integration   Online Enrollment   Online Salary Deferral   Automatic Enrollment       Support For Your Employees    \r                                                 All Retirement Plans\r                                                        Overview   401(k) Plan   403(b) Plan   401(a) Plan   457 Deferred Compensation Plan       Interest Account & Investment Options      Employer \r                             Individuals\r                            Overview    \r                                                 Traditional IRA\r                                                        Overview   Features & Benefits   Tax Advantages   Contributions & Withdrawals   Spousal IRA       Rollover IRA    \r                                                 Roth IRA\r                                                        Overview   Features & Benefits   Contributions & Withdrawals   Is a Roth IRA Right For You?   Converting to a Roth IRA        \r                                                 Flexible Premium Annuity\r                                                        Overview   Features & Benefits   Contributions & Withdrawals       Interest Account & Investment Options   Retirement Income Options   Automatic Contributions      Employer \r                             Insights & Tools\r                            Overview   Contribution Limits 2023   Resource Center   Retirement Calculators   Glossary      Employer \r                             About Us\r                            Overview', 'Community Partnership   Annual and Financial Reports   Board of Directors   What Our Clients Are Saying   Newsroom      Contact Us   \r                                     CONTACT US\r                                        Customer Support  For current plan sponsors & participants         Prospective Plan Sponsors For employers looking to change or start a new retirement plan        Login   \r                                     LOG IN / REGISTER\r                                     Log In/Set Up Online Account MyAccount access for Individuals      Enroll in Your Plan Group Plan enrollment for Individuals      Sponsor Login  Portal access for Employers              \r                                     Institutional Investors\r                                    \r                                     Careers\r                                                Home   About Us   Community Partnership     Community Partnership        Mutual of America Foundation Community Partnership Award       The Mutual of America Foundation Community Partnership Award recognizes outstanding nonprofit organizations in the United States that have shown exemplary leadership by facilitating partnerships with public, private or social sector leaders who are working together as equal partners, not as donors and recipients, to build a cohesive community that serves as a model for collaborating with others for the greater good. Each year, the Mutual of America Foundation sponsors a national competition in which hundreds of organizations demonstrate the value of their partnership to the communities they serve, their ability to be replicated by others and their capacity to stimulate new approaches to addressing significant social issues. Six organizations are selected by an independent committee to receive the Community Partnership Award.  The Thomas J. Moran Award is given to the national award-winning program and includes $100,000 and a documentary video about the program.', 'The Frances R. Hesselbein Award is given to a partnership that is addressing social challenges in more than one community, or which demonstrates the potential to be replicated in other communities. This recipient receives $50,000. Four other organizations are named Honorable Mention recipients for their programs, and each receives $50,000.  Since its inception in 1996, the Community Partnership Award has recognized 256 partnerships from cities and towns across America. Like so many of our clients working in the nonprofit community, Mutual of America is dedicated to having a direct, positive impact on society. The 2023 Community Partnership Award competition is open. Apply today! The deadline is July 1, 2023.     Ms. Lisa M. LoughryChairMutual of America Foundation320 Park AvenueNew York, NY 10022-6839 Helpful Links  2022 Community Partnership Award Website 2022 Community Partnership Award Documentary Video       \xa0                                 © Copyright 1999-2023 Mutual of America Life Insurance Company.                     Securities offered by Mutual of America Securities LLC, Member FINRA/SIPC. Insurance products are issued by Mutual of America Life Insurance Company, 320 Park Avenue, New York, NY 10022-6839.                     Mutual of America® and Mutual of America ezRollover® are registered service marks of Mutual of America Life Insurance Company.                                                          Legal Information                                                                         Privacy and Security Information                                                                         Accessibility                                                                         NY Residents                                                                         Business Resumption Plans                                                                         Fee Disclosure', ""Financial Strength                                                                         Site Map                                                                         FINRA's BrokerCheck                                                                         Form CRS–Customer Relationship Summary                                       Follow us Stay connected with news and updates     LinkedIn      Facebook      YouTube""]"
